passive_id,name,passive_type1,target_id1,value1,passive_type2,target_id2,value2,passive_type3,target_id3,value3,text,trigger_text1,trigger_text2,trigger_text3
passive_037,黒曜石,passive_pierce,all,0,status_immunity,burn,0,none,none,0,攻撃時、相手の特性を無視する。火やられ状態にならない。,none,ブラキディオスは火やられ状態にならない！,none
passive_038,蜘蛛の糸,debuff_immunity,speed_down,0,none,none,0,none,none,0,敏捷が下がらない。,ネルスキュラの敏捷は下がらない！,none,none
passive_039,滑液,clear_buff_immunity,clear_buff,0,element_damage_up,none,15,none,none,0,能力upが解除されない。無属性技の威力が上がる。,タマミツネの能力upは解除されない！,none,none
passive_040,尻刃,two_turn_skip_once,all,1,none,none,0,none,none,0,溜め技が1度だけ溜めがなしになる。,none,none,none
passive_041,不動の山神,start_energy,en,2,turn_end_stat_up,sp_def,10,none,none,0,EN2で戦闘開始する。ターン終了時、特殊防御が10%upする。,none,ガムートは身震いし、特殊防御が10%upした！,none
passive_042,雷の反逆者,switch_heal,hp,25,none,none,0,none,none,0,場から戦線を離れた時、最大HPの25%を回復する。,none,none,none
passive_043,寒気立つ嘴,en_down_immunity,en_down,0,none,none,0,none,none,0,EN減衰を無効にする。,ガララアジャラはEN減衰効果を受けない！,none,none
passive_044,狂竜化,debuff_immunity,all,0,element_damage_up,none,15,none,none,0,能力が下がらない。無属性技の威力が上がる。,ゴア・マガラは状態異常にならない！,none,none
passive_045,化け鮫,damage_cut,physical_damage,25,element_damage_up,water,15,none,none,0,物理ダメージを25%cutする。水属性技の威力が上がる。,none,none,none
passive_046,ネコのド根性！,survive_once,none,1,none,none,0,none,none,0,HPが最大の時、1度だけHPが1残る。,メラルーは根性で立ち上がった！,none,none
passive_047,白き神,debuff_immunity,debuff,0,damage_cut,special_damage,25,none,none,0,能力が下がらない。特殊ダメージを25%cutする。,ウカムルバスの能力は下がらない！,none,none
passive_048,天変地異,start_energy,en,3,status_immunity,all,0,none,none,0,EN3で戦闘開始する。状態異常にならない。,none,アルバトリオンは状態異常にならない！,none
passive_049,赤い群れの主,effect_chance_up,all,125,status_immunity,poison,0,none,none,0,追加効果の発生率が1.25倍。毒状態にならない。,none,ドスイーオスは毒状態にならない！,none
passive_050,熊手,start_energy,en,2,debuff_immunity,sp_def_down,0,none,none,0,EN2で戦闘開始する。特殊防御が下がらない。,none,アオアシラの特殊防御は下がらない！,none
passive_051,奇面の王,element_damage_up,fire,15,none,none,0,none,none,0,火属性技の威力が上がる。,none,none,none
passive_052,白い毛皮,debuff_immunity,sp_def_down,0,debuff_immunity,speed_down,0,none,none,0,特殊防御と敏捷が下がらない。,ウルクススの特殊防御は下がらない！,ウルクススの敏捷は下がらない！,none
passive_053,夜鳥の羽毛,status_immunity,sleep,0,debuff_immunity,phy_def_down,0,none,none,0,睡眠状態にならない。物理防御が下がらない。,ホロロホルルは睡眠状態にならない！,ホロロホルルの物理防御は下がらない！,none
passive_054,反逆鱗,battle_effect_immunity,stun,0,debuff_immunity,speed_down,0,none,none,0,怯まない。敏捷が下がらない。,セルレギオスは怯まない！,セルレギオスの敏捷は下がらない！,none
passive_055,女王のフェロモン,status_move_priority_up,all,1,start_energy,en,6,none,none,0,EN6で戦闘開始する。変化技の優先度が+1される。,none,none,none
passive_056,奇しき赫耀,turn_end_stat_up,sp_atk,10,low_hp_damage_up,none,50,none,none,0,ターン終了時、特殊攻撃が10%upする。HP33%以下で無属性技の威力が1.5倍。,バルファルクのエネルギーが漲り、特殊攻撃が10%upした！,none,none
passive_057,土砂竜の頭殻,clear_buff_immunity,clear_buff,0,debuff_immunity,phy_def_down,0,none,none,0,能力upが解除されない。物理防御が下がらない。,ボルボロスの能力upは解除されない！,ボルボロスの物理防御は下がらない！,none
passive_058,凍土纏い,debuff_immunity,sp_def_down,0,none,none,0,none,none,0low,特殊防御が下がらない。,アグナコトル亜種の特殊防御は下がらない！,none,none
passive_059,モンキーラダー,debuff_immunity,phy_atk_down,0,switch_heal,hp,25,none,none,0,物理攻撃が下がらない。場から戦線を離れた時、最大HPの25%を回復する。,ケチャワチャの物理攻撃は下がらない！,none,none
passive_060,動く砦,en_down_immunity,en_down,0,debuff_immunity,sp_def_down,0,none,none,0,EN減衰を無効にする。特殊防御が下がらない。,シェンガオレンはEN減衰効果を受けない！,シェンガオレンの特殊防御は下がらない！,none
passive_061,加速再生,debuff_immunity,speed_down,0,switch_heal,hp,25,none,none,0,敏捷が下がらない。場から戦線を離れた時、最大HPの25%を回復する。,ネルギガンテの敏捷は下がらない！,none,none
passive_062,大嵐,field_effect_immunity,all,0,status_immunity,all,0,low_hp_damage_up,thunder,50,相手が発生させるフィールド効果の影響を受けない。状態異常にならない。HPが33%以下で雷属性技の威力が1.5倍。,none,アマツマガツチは状態異常にならない！,none
passive_063,岩竜の涙,status_immunity,burn,0,start_energy,en,7,effect_chance_up,all,150,EN7で戦闘開始する。火やられ状態にならない。追加効果の発生率が1.5倍。,バサルモスは火やられ状態にならない！,none,none
passive_064,侵攻,turn_end_stat_up,phy_atk,10,none,none,0,none,none,0,ターン終了時、物理攻撃が10%upする。,ラオシャンロンの激しく怒り、物理攻撃が10%upした！,none,none
